threshold,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1
0.1,0.8942307692307693,0.0,0.0,0.0,0.8942307692307693,1.0,0.9441624365482234
0.15,0.9519230769230769,1.0,0.5454545454545454,0.7058823529411765,0.9489795918367347,1.0,0.9738219895287958
0.2,0.9711538461538461,1.0,0.7272727272727273,0.8421052631578947,0.96875,1.0,0.9841269841269841
0.25,0.9711538461538461,1.0,0.7272727272727273,0.8421052631578947,0.96875,1.0,0.9841269841269841
0.3,0.9711538461538461,1.0,0.7272727272727273,0.8421052631578947,0.96875,1.0,0.9841269841269841
0.35,0.9711538461538461,1.0,0.7272727272727273,0.8421052631578947,0.96875,1.0,0.9841269841269841
0.4,0.9615384615384616,0.7333333333333333,1.0,0.8461538461538461,1.0,0.956989247311828,0.978021978021978
0.45,0.875,0.4583333333333333,1.0,0.6285714285714286,1.0,0.8602150537634409,0.9248554913294798
0.5,0.8173076923076923,0.36666666666666664,1.0,0.5365853658536586,1.0,0.7956989247311828,0.8862275449101796
0.55,0.8076923076923077,0.3548387096774194,1.0,0.5238095238095238,1.0,0.7849462365591398,0.8795180722891566
0.6,0.8076923076923077,0.3548387096774194,1.0,0.5238095238095238,1.0,0.7849462365591398,0.8795180722891566
0.65,0.8076923076923077,0.3548387096774194,1.0,0.5238095238095238,1.0,0.7849462365591398,0.8795180722891566
0.7,0.8076923076923077,0.3548387096774194,1.0,0.5238095238095238,1.0,0.7849462365591398,0.8795180722891566
0.75,0.8076923076923077,0.3548387096774194,1.0,0.5238095238095238,1.0,0.7849462365591398,0.8795180722891566
0.8,0.8076923076923077,0.3548387096774194,1.0,0.5238095238095238,1.0,0.7849462365591398,0.8795180722891566
0.85,0.7596153846153846,0.3055555555555556,1.0,0.46808510638297873,1.0,0.7311827956989247,0.84472049689441
0.9,0.4326923076923077,0.15714285714285714,1.0,0.2716049382716049,1.0,0.3655913978494624,0.5354330708661418
